Cell type,Symbol
FCGR3A+_Monocyte,FCN1
FCGR3A+_Monocyte,BCL2A1
FCGR3A+_Monocyte,CD83
FCGR3A+_Monocyte,MAFB
FCGR3A+_Monocyte,NPC2
FCGR3A+_Monocyte,UTRN
FCGR3A+_Monocyte,C9orf72
FCGR3A+_Monocyte,S100A6
FCGR3A+_Monocyte,VMP1
FCGR3A+_Monocyte,PRAM1
FCGR3A+_Monocyte,NAAA
FCGR3A+_Monocyte,CLEC12A
FCGR3A+_Monocyte,ARRB1
FCGR3A+_Monocyte,SAMSN1
FCGR3A+_Monocyte,HLA-DRA
FCGR3A+_Monocyte,FAM110A
FCGR3A+_Monocyte,RAP1GAP2
FCGR3A+_Monocyte,FRY
FCGR3A+_Monocyte,ACTB
FCGR3A+_Monocyte,SLC7A7
FCGR3A+_Monocyte,MCTP1
FCGR3A+_Monocyte,CDH23
FCGR3A+_Monocyte,FGL2
FCGR3A+_Monocyte,C19orf38
HEK293T_cell,ADGRL3
HEK293T_cell,RP5-1024N4.2
HEK293T_cell,RP11-665G4.1
HEK293T_cell,SLIT2
HEK293T_cell,CKB
HEK293T_cell,BEX3
HEK293T_cell,POLDIP3
HEK293T_cell,HSPA1A
HEK293T_cell,SNRPD1
HEK293T_cell,HES4
HEK293T_cell,XIST
HEK293T_cell,TXN
HEK293T_cell,H2AFZ
HEK293T_cell,HSP90AA1
HEK293T_cell,ENO1
HEK293T_cell,NEBL
HEK293T_cell,HIST1H4C
HEK293T_cell,BOLA2B
HEK293T_cell,UCHL1
HEK293T_cell,EIF5A
HEK293T_cell,MT-RNR1
HEK293T_cell,HELLS
HEK293T_cell,UQCRH
HEK293T_cell,HSPE1
HEK293T_cell,RANBP1
HEK293T_cell,SOX4
HEK293T_cell,C14orf156
HEK293T_cell,TIMM13
HEK293T_cell,CUBN
HEK293T_cell,HSPA1B
HEK293T_cell,SRM
HEK293T_cell,TPI1
HEK293T_cell,RAN
HEK293T_cell,COX7B
HEK293T_cell,STMN1
HEK293T_cell,TCEAL9
HEK293T_cell,ENAH
HEK293T_cell,RP11-295G20.2
HEK293T_cell,NME1
HEK293T_cell,NDUFB10
HEK293T_cell,GAL
HEK293T_cell,LRP1B
HEK293T_cell,UQCRQ
HEK293T_cell,MID1
HEK293T_cell,NME1-NME2
HEK293T_cell,SNRPE
HEK293T_cell,ATPIF1
HEK293T_cell,SLC25A5
HEK293T_cell,TUBB
HEK293T_cell,YWHAE
HEK293T_cell,SNRPB
HEK293T_cell,TIMM8B
HEK293T_cell,PRKG1
HEK293T_cell,PARD3
HEK293T_cell,COX17
HEK293T_cell,CKS2
HEK293T_cell,NFIA
HEK293T_cell,ROMO1
HEK293T_cell,POLR2F
HEK293T_cell,SNRPG
HEK293T_cell,CDKN2A
HEK293T_cell,ARHGAP4
HEK293T_cell,POLR2L
HEK293T_cell,PTTG1
HEK293T_cell,CTD-2116N17.1
HEK293T_cell,SERBP1
HEK293T_cell,NAA38
HEK293T_cell,PIN4
HEK293T_cell,PDCD5
HEK293T_cell,SNRPF
HEK293T_cell,PLS3
HEK293T_cell,NDUFA1
HEK293T_cell,CH507-528H12.1
HEK293T_cell,SOX9-AS1
HEK293T_cell,CCT3
HEK293T_cell,CTD-2515O10.6
HEK293T_cell,UBE2SP1
HEK293T_cell,ARMC7
HEK293T_cell,NDUFS6
HEK293T_cell,CYCS
HEK293T_cell,MT-RNR2
HEK293T_cell,STRA13
HEK293T_cell,PRDX4
HEK293T_cell,HSPD1
HEK293T_cell,ID3
HEK293T_cell,YBX1
HEK293T_cell,PSMA4
HEK293T_cell,SOD1
HEK293T_cell,PTCD1
HEK293T_cell,ERH
HEK293T_cell,USMG5
HEK293T_cell,PARP1
HEK293T_cell,DTNA
HEK293T_cell,RP11-244M2.1
HEK293T_cell,MRPL12
HEK293T_cell,GSTP1
HEK293T_cell,TAF5
HEK293T_cell,COX6A1
HEK293T_cell,SDK1
HEK293T_cell,MORF4L2
Megakaryocyte,CMTM5
Megakaryocyte,PDZK1IP1
Megakaryocyte,SDPR
Megakaryocyte,AC147651.3
Megakaryocyte,PPBP
Megakaryocyte,ACRBP
Megakaryocyte,GP9
Megakaryocyte,PTCRA
Megakaryocyte,HBG1
Megakaryocyte,TREML1
Megakaryocyte,SMIM5
Megakaryocyte,PF4
Megakaryocyte,PTGS1
Megakaryocyte,PF4V1
Megakaryocyte,ABO
Megakaryocyte,SELP
Megakaryocyte,RGS18
Megakaryocyte,TAL1
Megakaryocyte,HIST1H2AE
Megakaryocyte,5-Sep
Megakaryocyte,VSIG2
Megakaryocyte,HIST1H3A
Megakaryocyte,LYL1
Megakaryocyte,GNG11
Megakaryocyte,PTGIR
Megakaryocyte,PPP1R14A
Megakaryocyte,CLEC1B
Megakaryocyte,HIST1H3H
Megakaryocyte,TMEM40
Megakaryocyte,NRGN
Megakaryocyte,SPARC
Megakaryocyte,SH3BGRL2
Megakaryocyte,CLCN7
Megakaryocyte,FSTL4
Megakaryocyte,TSPAN33
Megakaryocyte,HIST1H2BG
Megakaryocyte,ZNF69
Megakaryocyte,MMD
Megakaryocyte,MAP3K7CL
Megakaryocyte,LILRB4
Megakaryocyte,RAB37
Megakaryocyte,FIZ1
Megakaryocyte,HIST1H2AC
Megakaryocyte,FAM198B
Megakaryocyte,RP5-1132H15.1
Megakaryocyte,RP11-144G7.2
Megakaryocyte,WBP2
Megakaryocyte,TMEM106A
Megakaryocyte,NAIP
Megakaryocyte,SLC40A1
Megakaryocyte,5-Sep
Megakaryocyte,PRKAR2B
Megakaryocyte,AC040160.13
Megakaryocyte,TSC22D1
Megakaryocyte,EXOC5
Megakaryocyte,RAC2
Megakaryocyte,PADI4
Megakaryocyte,HIST1H2BJ
Megakaryocyte,RASSF4
Megakaryocyte,SAMD9
Megakaryocyte,SPNS3
Megakaryocyte,CPEB2
Megakaryocyte,CTD-3214H19.4
Megakaryocyte,HSDL1
Megakaryocyte,RNF125
Megakaryocyte,PAN3
Megakaryocyte,TMC8
Megakaryocyte,SNN
Megakaryocyte,RP11-348J24.2
Megakaryocyte,PARP10
Megakaryocyte,BCAS4
Megakaryocyte,SLFN5
Megakaryocyte,BRF1
Megakaryocyte,TRAM2
Megakaryocyte,STOM
Megakaryocyte,MAML2
Megakaryocyte,ARHGAP30
Megakaryocyte,AIF1
Megakaryocyte,MBNL1
Megakaryocyte,ZSCAN18
Megakaryocyte,IKBKE
Megakaryocyte,RTN2
Megakaryocyte,ODC1
